Client: 2, nsmp=100, del=125000
Client: 1, nsmp=100, del=125000
Client: 0, nsmp=100, del=125000
Sample 0, client 0, delivery time: 623
Sample 1, client 0, delivery time: 290
Sample 2, client 0, delivery time: 254
Sample 3, client 0, delivery time: 231
Sample 4, client 0, delivery time: 231
Sample 5, client 0, delivery time: 227
Sample 6, client 0, delivery time: 226
Sample 7, client 0, delivery time: 3383
Sample 8, client 0, delivery time: 271
Sample 9, client 0, delivery time: 243
Sample 10, client 0, delivery time: 11839
Sample 11, client 0, delivery time: 12000
Sample 12, client 0, delivery time: 5362
Sample 13, client 0, delivery time: 267
Sample 14, client 0, delivery time: 264
Sample 15, client 0, delivery time: 245
Sample 16, client 0, delivery time: 268
Sample 17, client 0, delivery time: 244
Sample 18, client 0, delivery time: 264
Sample 19, client 0, delivery time: 243
Sample 20, client 0, delivery time: 220
Sample 21, client 0, delivery time: 224
Sample 22, client 0, delivery time: 224
Sample 23, client 0, delivery time: 223
Sample 24, client 0, delivery time: 7343
Sample 25, client 0, delivery time: Sample 0, client 1, delivery time: 553
Sample 1, client 1, delivery time: 117
Sample 2, client 1, delivery time: 151
Sample 3, client 1, delivery time: 63
Sample 4, client 1, delivery time: 64
Sample 5, client 1, delivery time: 61
Sample 6, client 1, delivery time: 61
Sample 7, client 1, delivery time: 207
Sample 8, client 1, delivery time: 332
Sample 9, client 1, delivery time: 202
Sample 10, client 1, delivery time: 205
Sample 11, client 1, delivery time: 108
Sample 12, client 1, delivery time: 124
Sample 13, client 1, delivery time: 106
Sample 14, client 1, delivery time: 103
Sample 15, client 1, delivery time: 203
Sample 16, client 1, delivery time: 105
Sample 17, client 1, delivery time: 203
Sample 18, client 1, delivery time: 103
Sample 19, client 1, delivery time: 143
Sample 20, client 1, delivery time: 58
Sample 21, client 1, delivery time: 61
Sample 22, client 1, delivery time: 60
Sample 23, client 1, delivery time: 62
Sample 24, client 1, delivery time: 145
Sample 25, client 1, delivery time: 61
Sample Sample 0, client 2, delivery time: 458
Sample 1, client 2, delivery time: 70
Sample 2, client 2, delivery time: 211
Sample 3, client 2, delivery time: 107
Sample 4, client 2, delivery time: 107
Sample 5, client 2, delivery time: 105
Sample 6, client 2, delivery time: 105
Sample 7, client 2, delivery time: 148
Sample 8, client 2, delivery time: 375
Sample 9, client 2, delivery time: 144
Sample 10, client 2, delivery time: 145
Sample 11, client 2, delivery time: 64
Sample 12, client 2, delivery time: 80
Sample 13, client 2, delivery time: 62
Sample 14, client 2, delivery time: 60
Sample 15, client 2, delivery time: 144
Sample 16, client 2, delivery time: 62
Sample 17, client 2, delivery time: 145
Sample 18, client 2, delivery time: 60
Sample 19, client 2, delivery time: 202
Sample 20, client 2, delivery time: 101
Sample 21, client 2, delivery time: 104
Sample 22, client 2, delivery time: 104
Sample 23, client 2, delivery time: 105
Sample 24, client 2, delivery time: 204
Sample 25, client 2, delivery time: 104
Sample 26, client 2, delivery time: 227
Sample 27, client 2, delivery time: 146
Sample 28, client 2, delivery time: 210
Sample 29, client 2, delivery time: 142
Sample 30, client 2, delivery time: 59
Sample 31, client 2, delivery time: 61
Sample 32, client 2, delivery time: 204
Sample 33, client 2, delivery time: 171
Sample 34, client 2, delivery time: 105
Sample 35, client 2, delivery time: 105
Sample 36, client 2, delivery time: 145
Sample 37, client 2, delivery time: 62
Sample 38, client 2, delivery time: 61
Sample 39, client 2, delivery time: 143
Sample 40, client 2, delivery time: 202
Sample 41, client 2, delivery time: 102
Sample 42, client 2, delivery time: 139
Sample 43, client 2, delivery time: 60
Sample 44, client 2, delivery time: 201
Sample 45, client 2, delivery time: 60
Sample 46, client 2, delivery time: 189
Sample 47, client 2, delivery time: 143
Sample 48, client 2, delivery time: 59
Sample 49, client 2, delivery time: 94
Sample 50, client 2, delivery time: 203
Sample 51, client 2, delivery time: 145
26, client 1, delivery time: 147
Sample 27, client 1, delivery time: 204
Sample 28, client 1, delivery time: 139
Sample 29, client 1, delivery time: 201
Sample 30, client 1, delivery time: 102
Sample 31, client 1, delivery time: 103
Sample 32, client 1, delivery time: 144
Sample 33, client 1, delivery time: 60
Sample 34, client 1, delivery time: 61
Sample 35, client 1, delivery time: 62
Sample 36, client 1, delivery time: 204
Sample 37, client 1, delivery time: 105
Sample 38, client 1, delivery time: 105
Sample 39, client 1, delivery time: 201
Sample 40, client 1, delivery time: 143
Sample 41, client 1, delivery time: 59
Sample 42, client 1, delivery time: 209
Sample 43, client 1, delivery time: 102
Sample 44, client 1, delivery time: 142
Sample 45, client 1, delivery time: 194
Sample 46, client 1, delivery time: 138
Sample 47, client 1, delivery time: 202
Sample 48, client 1, delivery time: 102
Sample 49, client 1, delivery time: 145
Sample 50, client 1, delivery time: 144
Sample 51, client 1, delivery time: 223
Sample 26, client 0, delivery time: 282
Sample 27, client 0, delivery time: 247
Sample 28, client 0, delivery time: 2313
Sample 29, client 0, delivery time: 243
Sample 30, client 0, delivery time: 262
Sample 31, client 0, delivery time: 265
Sample 32, client 0, delivery time: 245
Sample 33, client 0, delivery time: 1949
Sample 34, client 0, delivery time: 224
Sample 35, client 0, delivery time: 223
Sample 36, client 0, delivery time: 7757
Sample 37, client 0, delivery time: 6116
Sample 38, client 0, delivery time: 265
Sample 39, client 0, delivery time: 242
Sample 40, client 0, delivery time: 2162
Sample 41, client 0, delivery time: 221
Sample 42, client 0, delivery time: 251
Sample 43, client 0, delivery time: 260
Sample 44, client 0, delivery time: 241
Sample 45, client 0, delivery time: 1738
Sample 46, client 0, delivery time: 2301
Sample 47, client 0, delivery time: 3368
Sample 48, client 0, delivery time: 261
Sample 49, client 0, delivery time: 319
Sample 50, client 0, delivery time: 2216
Sample 51, client 0, delivery time: 3066
Sample 52, client 0, delivery time: 226
Sample 53, client 0, delivery time: 223
Sample 54, client 0, delivery time: 221
Sample 55, client 0, delivery time: 222
Sample 56, client 0, delivery time: 7618
Sample 57, client 0, delivery time: 264
Sample 58, client 0, delivery time: 243
Sample 59, client 0, delivery time: 259
Sample 60, client 0, delivery time: 242
Sample 61, client 0, delivery time: 219
Sample 62, client 0, delivery time: 221
Sample 63, client 0, delivery time: 7684
Sample 64, client 0, delivery time: 219
Sample 65, client 0, delivery time: 223
Sample 66, client 0, delivery time: 7857
Sample 67, client 0, delivery time: 221
Sample 68, client 0, delivery time: 220
Sample 69, client 0, delivery time: 219
Sample 70, client 0, delivery time: 219
Sample 71, client 0, delivery time: 217
Sample 72, client 0, delivery time: 220
Sample 73, client 0, delivery time: 218
Sample 74, client 0, delivery time: 222
Sample 75, client 0, delivery time: 7395
Sample 76, client 0, delivery time: 219273
Sample 52, client 1, delivery time: 63
Sample 53, client 1, delivery time: 62
Sample 54, client 1, delivery time: 62
Sample 55, client 1, delivery time: 61
