Client: 2, nsmp=100, del=125000
Client: 1, nsmp=100, del=125000
Client: 0, nsmp=100, del=125000
Sample 0, client 0, delivery time: 252
Sample 1, client 0, delivery time: 161
Sample 2, client 0, delivery time: 153
Sample 3, client 0, delivery time: 157
Sample 4, client 0, delivery time: 149
Sample 5, client 0, delivery time: 148
Sample 6, client 0, delivery time: 148
Sample 7, client 0, delivery time: 148
Sample 8, client 0, delivery time: 148
Sample 9, client 0, delivery time: 149
Sample 10, client 0, delivery time: 112
Sample 11, client 0, delivery time: 110
Sample 12, client 0, delivery time: 109
Sample 13, client 0, delivery time: 108
Sample 14, client 0, delivery time: 106
Sample 15, client 0, delivery time: 110
Sample 16, client 0, delivery time: 109
Sample 17, client 0, delivery time: 118
Sample 18, client 0, delivery time: 106
Sample 19, client 0, delivery time: 107
Sample 20, client 0, delivery time: 107
Sample 21, client 0, delivery time: 106
Sample 22, client 0, delivery time: 105
Sample 23, client 0, delivery time: 105
Sample 24, client 0, delivery time: 119
Sample 25, client 0, delivery time: Sample 0, client 1, delivery time: 187
Sample 1, client 1, delivery time: 118
Sample 2, client 1, delivery time: 110
Sample 3, client 1, delivery time: 114
Sample 4, client 1, delivery time: 108
Sample 5, client 1, delivery time: 107
Sample 6, client 1, delivery time: 107
Sample 7, client 1, delivery time: 107
Sample 8, client 1, delivery time: 107
Sample 9, client 1, delivery time: 108
Sample 10, client 1, delivery time: 67
Sample 11, client 1, delivery time: 66
Sample 12, client 1, delivery time: 66
Sample 13, client 1, delivery time: 64
Sample 14, client 1, delivery time: 63
Sample 15, client 1, delivery time: 67
Sample 16, client 1, delivery time: 65
Sample 17, client 1, delivery time: 74
Sample 18, client 1, delivery time: 63
Sample 19, client 1, delivery time: 64
Sample 20, client 1, delivery time: 64
Sample 21, client 1, delivery time: 63
Sample 22, client 1, delivery time: 62
Sample 23, client 1, delivery time: 63
Sample 24, client 1, delivery time: 74
Sample 25, client 1, delivery time: 63
Sample 26, client Sample 0, client 2, delivery time: 116
Sample 1, client 2, delivery time: 72
Sample 2, client 2, delivery time: 66
Sample 3, client 2, delivery time: 69
Sample 4, client 2, delivery time: 65
Sample 5, client 2, delivery time: 64
Sample 6, client 2, delivery time: 64
Sample 7, client 2, delivery time: 64
Sample 8, client 2, delivery time: 65
Sample 9, client 2, delivery time: 64
Sample 10, client 2, delivery time: 154
Sample 11, client 2, delivery time: 151
Sample 12, client 2, delivery time: 150
Sample 13, client 2, delivery time: 149
Sample 14, client 2, delivery time: 146
Sample 15, client 2, delivery time: 149
Sample 16, client 2, delivery time: 150
Sample 17, client 2, delivery time: 158
Sample 18, client 2, delivery time: 147
Sample 19, client 2, delivery time: 147
Sample 20, client 2, delivery time: 147
Sample 21, client 2, delivery time: 146
Sample 22, client 2, delivery time: 144
Sample 23, client 2, delivery time: 145
Sample 24, client 2, delivery time: 158
Sample 25, client 2, delivery time: 169
Sample 106
Sample 26, client 0, delivery time: 128
Sample 27, client 0, delivery time: 105
Sample 28, client 0, delivery time: 105
Sample 29, client 0, delivery time: 109
Sample 30, client 0, delivery time: 108
Sample 31, client 0, delivery time: 105
Sample 32, client 0, delivery time: 117
Sample 33, client 0, delivery time: 106
Sample 34, client 0, delivery time: 106
Sample 35, client 0, delivery time: 105
Sample 36, client 0, delivery time: 106
Sample 37, client 0, delivery time: 106
Sample 38, client 0, delivery time: 105
Sample 39, client 0, delivery time: 118
Sample 40, client 0, delivery time: 105
Sample 41, client 0, delivery time: 106
Sample 42, client 0, delivery time: 108
Sample 43, client 0, delivery time: 106
Sample 44, client 0, delivery time: 116
Sample 45, client 0, delivery time: 106
Sample 46, client 0, delivery time: 106
Sample 47, client 0, delivery time: 109
Sample 48, client 0, delivery time: 105
Sample 49, client 0, delivery time: 148
Sample 50, client 0, delivery time: 106
Sample 51, client 0, delivery time: 26, client 2, delivery time: 169
Sample 27, client 2, delivery time: 145
Sample 28, client 2, delivery time: 145
Sample 29, client 2, delivery time: 150
Sample 30, client 2, delivery time: 147
Sample 31, client 2, delivery time: 145
Sample 32, client 2, delivery time: 156
Sample 33, client 2, delivery time: 145
Sample 34, client 2, delivery time: 146
Sample 35, client 2, delivery time: 145
Sample 36, client 2, delivery time: 145
Sample 37, client 2, delivery time: 146
Sample 38, client 2, delivery time: 144
Sample 39, client 2, delivery time: 160
Sample 40, client 2, delivery time: 144
Sample 41, client 2, delivery time: 145
Sample 42, client 2, delivery time: 147
Sample 43, client 2, delivery time: 145
Sample 44, client 2, delivery time: 155
Sample 45, client 2, delivery time: 145
Sample 46, client 2, delivery time: 144
Sample 47, client 2, delivery time: 149
Sample 48, client 2, delivery time: 144
Sample 49, client 2, delivery time: 195
Sample 50, client 2, delivery time: 145
Sample 51, client 2, delivery time: 1, delivery time: 64
Sample 27, client 1, delivery time: 63
Sample 28, client 1, delivery time: 63
Sample 29, client 1, delivery time: 63
Sample 30, client 1, delivery time: 64
Sample 31, client 1, delivery time: 63
Sample 32, client 1, delivery time: 74
Sample 33, client 1, delivery time: 64
Sample 34, client 1, delivery time: 64
Sample 35, client 1, delivery time: 63
Sample 36, client 1, delivery time: 63
Sample 37, client 1, delivery time: 63
Sample 38, client 1, delivery time: 63
Sample 39, client 1, delivery time: 64
Sample 40, client 1, delivery time: 63
Sample 41, client 1, delivery time: 64
Sample 42, client 1, delivery time: 64
Sample 43, client 1, delivery time: 63
Sample 44, client 1, delivery time: 73
Sample 45, client 1, delivery time: 63
Sample 46, client 1, delivery time: 64
Sample 47, client 1, delivery time: 65
Sample 48, client 1, delivery time: 63
Sample 49, client 1, delivery time: 97
Sample 50, client 1, delivery time: 63
Sample 51, client 1, delivery time: 64
Sample 52, client 1, delivery time: 105
Sample 52, client 0, delivery time: 129
Sample 53, client 0, delivery time: 105
Sample 54, client 0, delivery time: 105
Sample 55, client 0, delivery time: 106
Sample 56, client 0, delivery time: 105
Sample 57, client 0, delivery time: 107
Sample 58, client 0, delivery time: 106
Sample 59, client 0, delivery time: 105
Sample 60, client 0, delivery time: 104
Sample 61, client 0, delivery time: 105
Sample 62, client 0, delivery time: 104
Sample 63, client 0, delivery time: 105
Sample 64, client 0, delivery time: 104
Sample 65, client 0, delivery time: 108
Sample 66, client 0, delivery time: 107
Sample 67, client 0, delivery time: 106
Sample 68, client 0, delivery time: 106
Sample 69, client 0, delivery time: 105
Sample 70, client 0, delivery time: 105
Sample 71, client 0, delivery time: 105
Sample 72, client 0, delivery time: 105
Sample 73, client 0, delivery time: 104
Sample 74, client 0, delivery time: 105
Sample 75, client 0, delivery time: 105
Sample 76, client 0, delivery time: 105
Sample 77, client 0, delivery time: 192
Sample 52, client 2, delivery time: 169
Sample 53, client 2, delivery time: 145
Sample 54, client 2, delivery time: 145
Sample 55, client 2, delivery time: 145
